DATA ;CONSUMIDORES_RJ;TEMP_MIN_MEDIANA;TEMP_MAX_MEDIANA;TEMP_MEDIA_MEDIANA;UMIDADE_MIN_MEDIANA;PIMPF_INDUSTRIA_GERAL_INDICE;PIMPF_INDUSTRIA_EXTRATIVA_INDICE;PIMPF_INDUSTRIA_TRANSFORMACAO_INDICE;PMC_VOLUME_VENDAS_INDICE;PMS_VOLUME_SERVICOS_INDICE;PMS_ATIVIDADES_TURISTICAS_INDICE
jan/04; 5.371.210 ;13,75;36,05;24,90;40,00;81,79;60,41;94,49;60,90;NA;NA
fev/04; 5.385.989 ;18,20;35,20;26,70;34,50;79,81;56,14;93,16;57,49;NA;NA
mar/04; 5.404.455 ;17,30;33,30;25,30;42,00;88,81;60,99;104,17;62,24;NA;NA
abr/04; 5.425.663 ;15,75;35,25;25,50;38,50;85,17;58,34;99,96;62,03;NA;NA
mai/04; 5.436.071 ;13,70;30,65;22,18;45,00;88,80;57,07;105,50;66,47;NA;NA
jun/04; 5.450.417 ;13,25;30,20;21,73;34,00;89,31;58,26;105,82;62,24;NA;NA
jul/04; 5.464.078 ;15,30;31,30;23,30;39,00;90,06;62,16;105,54;65,13;NA;NA
ago/04; 5.478.187 ;10,20;33,90;22,05;29,00;92,65;61,74;109,32;64,82;NA;NA
set/04; 5.490.037 ;15,30;36,60;25,95;28,00;90,92;61,06;107,12;61,62;NA;NA
out/04; 5.500.873 ;21,00;38,15;29,58;28,50;93,93;62,87;110,74;66,06;NA;NA
nov/04; 5.519.544 ;17,00;37,80;27,40;32,00;90,20;58,21;107,08;64,41;NA;NA
dez/04; 5.534.686 ;18,40;35,50;26,95;43,00;89,79;62,67;104,98;95,27;NA;NA
jan/05; 5.803.704 ;18,90;37,40;28,15;37,00;86,50;62,98;100,24;61,72;NA;NA
fev/05; 5.813.484 ;16,60;35,00;25,80;37,50;79,74;56,20;93,04;57,91;NA;NA
mar/05; 5.839.142 ;19,55;35,60;27,58;39,50;91,63;64,35;107,00;67,19;NA;NA
abr/05; 5.848.818 ;16,70;35,40;26,05;39,00;89,60;69,47;102,38;64,00;NA;NA
mai/05; 5.782.970 ;14,30;33,25;23,78;41,00;92,83;73,59;105,52;66,89;NA;NA
jun/05; 5.886.459 ;13,25;31,30;22,28;41,50;87,90;71,49;99,30;66,06;NA;NA
jul/05; 5.895.850 ;11,90;31,80;21,85;32,00;87,68;73,48;98,31;68,54;NA;NA
ago/05; 5.918.962 ;13,25;38,00;25,63;26,50;96,15;70,34;111,31;67,61;NA;NA
set/05; 5.926.210 ;13,85;33,85;23,85;33,50;96,38;70,23;111,68;64,92;NA;NA
out/05; 5.944.614 ;15,05;39,25;27,15;20,50;97,32;72,69;112,16;67,92;NA;NA
nov/05; 5.961.683 ;15,55;35,30;25,43;38,00;94,68;70,65;109,13;68,23;NA;NA
dez/05; 5.978.588 ;15,85;35,55;25,70;33,50;92,81;74,03;105,34;99,91;NA;NA
jan/06; 6.002.380 ;19,30;39,50;29,40;27,00;92,81;74,52;105,18;65,75;NA;NA
fev/06; 6.011.655 ;20,70;38,10;29,40;30,00;85,56;67,48;97,37;62,76;NA;NA
mar/06; 5.993.864 ;19,40;35,60;27,50;41,00;92,77;74,14;105,25;68,43;NA;NA
abr/06; 6.012.061 ;15,90;33,40;24,65;40,00;89,61;73,17;101,14;68,95;NA;NA
mai/06; 6.031.636 ;10,30;31,30;20,80;33,00;95,98;74,78;109,55;72,77;NA;NA
jun/06; 6.032.695 ;11,80;30,30;21,05;32,00;90,38;65,58;104,81;67,61;NA;NA
jul/06; 6.046.525 ;10,80;34,00;22,40;17,00;93,72;73,09;106,95;68,95;NA;NA
ago/06; 6.060.849 ;10,20;35,40;22,80;25,00;97,14;72,78;111,86;71,63;NA;NA
set/06; 6.057.927 ;14,85;31,00;22,93;34,00;92,70;71,35;106,11;71,12;NA;NA
out/06; 5.984.426 ;14,70;33,00;23,85;39,00;94,98;75,90;107,76;72,98;NA;NA
nov/06; 6.114.412 ;13,75;33,05;23,40;46,50;91,99;72,86;104,59;75,35;NA;NA
dez/06; 6.037.272 ;18,70;35,40;27,05;42,00;89,46;76,36;99,83;104,66;NA;NA
jan/07; 6.048.218 ;18,80;34,80;26,80;44,00;91,63;73,21;103,97;70,60;NA;NA
fev/07; 6.059.966 ;18,10;34,00;26,05;38,00;83,30;67,13;94,32;66,47;NA;NA
mar/07; 6.092.741 ;19,05;35,35;27,20;30,00;97,66;73,99;112,19;74,11;NA;NA
abr/07; 6.085.703 ;18,40;34,50;26,45;35,00;93,64;70,48;107,73;71,63;NA;NA
mai/07; 6.107.059 ;11,85;31,30;21,58;34,50;98,76;72,19;114,36;76,69;NA;NA
jun/07; 6.116.057 ;10,90;31,00;20,95;32,50;93,26;70,84;107,07;72,05;NA;NA
jul/07; 6.103.169 ;9,05;32,55;20,80;28,50;92,78;73,33;105,55;73,80;NA;NA
ago/07; 6.121.082 ;11,55;34,65;23,10;18,00;99,40;72,32;115,20;76,69;NA;NA
set/07; 6.124.187 ;14,95;35,50;25,23;23,00;93,43;68,36;108,15;74,01;NA;NA
out/07; 6.160.312 ;14,40;35,65;25,03;27,50;102,92;68,59;121,44;77,21;NA;NA
nov/07; 6.173.453 ;15,30;35,80;25,55;35,50;96,50;67,78;112,68;79,48;NA;NA
dez/07; 6.177.754 ;18,30;35,75;27,03;34,50;94,63;73,57;108,07;111,58;NA;NA
