DATA ;CONSUMO_RJ
jan/04; 2.612.753 
fev/04; 2.630.034 
mar/04; 2.582.061 
abr/04; 2.626.340 
mai/04; 2.530.945 
jun/04; 2.366.320 
jul/04; 2.466.119 
ago/04; 2.407.958 
set/04; 2.494.812 
out/04; 2.567.500 
nov/04; 2.572.550 
dez/04; 2.677.811 
jan/05; 2.757.858 
fev/05; 2.588.172 
mar/05; 2.658.664 
abr/05; 2.854.589 
mai/05; 2.668.163 
jun/05; 2.640.653 
jul/05; 2.544.682 
ago/05; 2.593.486 
set/05; 2.780.128 
out/05; 2.637.308 
nov/05; 2.714.012 
dez/05; 2.789.956 
jan/06; 2.688.250 
fev/06; 2.868.409 
mar/06; 2.769.130 
abr/06; 2.816.916 
mai/06; 2.646.725 
jun/06; 2.480.632 
jul/06; 2.647.172 
ago/06; 2.648.541 
set/06; 2.561.063 
out/06; 2.675.694 
nov/06; 2.751.919 
dez/06; 2.839.135 
jan/07; 2.842.070 
fev/07; 2.747.046 
mar/07; 3.138.732 
abr/07; 3.048.772 
mai/07; 2.783.099 
jun/07; 2.548.962 
jul/07; 2.518.461 
ago/07; 2.604.039 
set/07; 2.706.574 
out/07; 2.697.345 
nov/07; 2.811.192 
dez/07; 2.804.883 
jan/08; 3.031.344 
fev/08; 2.835.148 
mar/08; 2.930.457 
abr/08; 2.908.052 
mai/08; 2.860.706 
jun/08; 2.623.702 
jul/08; 2.683.517 
ago/08; 2.754.181 
set/08; 2.723.433 
out/08; 2.818.813 
nov/08; 2.870.700 
dez/08; 2.682.604 
jan/09; 2.806.552 
fev/09; 2.843.791 
mar/09; 3.033.619 
abr/09; 2.802.093 
mai/09; 2.662.822 
jun/09; 2.513.134 
jul/09; 2.609.791 
ago/09; 2.524.642 
set/09; 2.680.420 
out/09; 2.783.854 
nov/09; 2.927.367 
dez/09; 3.122.783 
jan/10; 3.151.953 
fev/10; 3.139.591 
mar/10; 3.168.627 
abr/10; 3.048.699 
mai/10; 2.934.284 
jun/10; 2.800.016 
jul/10; 2.749.060 
ago/10; 2.800.297 
set/10; 2.877.657 
out/10; 2.989.601 
nov/10; 2.899.863 
dez/10; 3.241.549 
jan/11; 3.426.819 
fev/11; 3.374.945 
mar/11; 3.332.754 
abr/11; 3.178.616 
mai/11; 3.093.268 
jun/11; 2.800.369 
jul/11; 2.798.556 
ago/11; 2.927.856 
set/11; 2.970.902 
out/11; 2.995.310 
nov/11; 3.031.056 
dez/11; 3.077.474 
jan/12; 3.173.443 
fev/12; 3.264.757 
mar/12; 3.471.911 
abr/12; 3.252.302 
mai/12; 3.132.865 
jun/12; 2.956.888 
jul/12; 2.974.900 
ago/12; 3.061.913 
set/12; 3.031.541 
out/12; 3.129.584 
nov/12; 3.313.146 
dez/12; 3.286.284 
jan/13; 3.562.551 
fev/13; 3.343.786 
mar/13; 3.507.903 
abr/13; 3.326.802 
mai/13; 3.210.906 
jun/13; 3.134.274 
jul/13; 3.101.801 
ago/13; 3.109.526 
set/13; 3.120.243 
out/13; 3.301.665 
nov/13; 3.346.144 
dez/13; 3.403.576 
jan/14; 3.713.671 
fev/14; 3.938.200 
mar/14; 3.811.016 
abr/14; 3.480.776 
mai/14; 3.283.653 
jun/14; 3.180.966 
jul/14; 3.078.482 
ago/14; 2.962.505 
set/14; 3.146.616 
out/14; 3.398.400 
nov/14; 3.456.686 
dez/14; 3.482.597 
jan/15; 3.959.162 
fev/15; 3.806.013 
mar/15; 3.819.183 
abr/15; 3.535.738 
mai/15; 3.326.824 
jun/15; 3.171.546 
jul/15; 3.101.487 
ago/15; 3.204.603 
set/15; 3.093.499 
out/15; 3.330.141 
nov/15; 3.398.824 
dez/15; 3.381.919 
jan/16; 3.727.730 
fev/16; 3.524.041 
mar/16; 3.600.512 
abr/16; 3.642.531 
mai/16; 3.327.946 
jun/16; 3.024.188 
jul/16; 2.930.817 
ago/16; 3.105.100 
set/16; 3.153.057 
out/16; 3.235.421 
nov/16; 3.262.119 
dez/16; 3.369.977 
jan/17; 3.708.165 
fev/17; 3.587.151 
mar/17; 3.797.915 
abr/17; 3.285.943 
mai/17; 3.134.241 
jun/17; 2.966.468 
jul/17; 2.870.511 
ago/17; 2.928.953 
set/17; 2.864.156 
out/17; 3.185.710 
nov/17; 3.215.200 
dez/17; 3.337.756 
jan/18; 3.614.646 
fev/18; 3.368.689 
mar/18; 3.741.055 
abr/18; 3.625.512 
mai/18; 3.321.234 
jun/18; 3.067.867 
jul/18; 3.056.282 
ago/18; 3.069.855 
set/18; 2.972.128 
out/18; 3.285.041 
nov/18; 3.192.128 
dez/18; 3.384.893 
jan/19; 3.799.433 
fev/19; 3.535.568 
mar/19; 3.649.936 
abr/19; 3.309.926 
mai/19; 3.378.074 
jun/19; 3.020.416 
jul/19; 2.930.184 
ago/19; 2.956.017 
set/19; 2.969.825 
out/19; 3.163.291 
nov/19; 3.347.956 
dez/19; 3.182.884 
jan/20; 3.563.646 
fev/20; 3.467.969 
mar/20; 3.457.626 
abr/20; 2.910.749 
mai/20; 2.811.955 
jun/20; 2.739.827 
jul/20; 2.845.925 
ago/20; 2.960.416 
set/20; 3.112.447 
out/20; 3.393.963 
nov/20; 3.254.219 
dez/20; 3.599.915 
jan/21; 3.511.321 
fev/21; 3.452.740 
mar/21; 3.583.540 
abr/21; 3.404.423 
mai/21; 3.097.000 
jun/21; 2.974.093 
jul/21; 2.844.570 
ago/21; 2.916.072 
set/21; 3.106.544 
out/21; 3.077.992 
nov/21; 3.061.526 
dez/21; 3.216.642 
jan/22; 3.248.066 
fev/22; 3.410.827 
mar/22; 3.687.573 
abr/22; 3.427.563 
mai/22; 3.133.352 
jun/22; 2.876.558 
jul/22; 2.862.363 
ago/22; 2.941.109 
set/22; 2.828.675 
out/22; 2.937.037 
nov/22; 3.061.360 
dez/22; 3.121.692 
jan/23; 3.188.016 
fev/23; 3.375.486 
mar/23; 3.631.484 
abr/23; 3.275.082 
mai/23; 3.028.673 
jun/23; 2.919.509 
jul/23; 2.850.286 
ago/23; 2.989.954 
set/23; 3.047.344 
out/23; 3.121.977 
nov/23; 3.223.198 
dez/23; 3.302.438 
